pincode,place_name,state_name,latitude,longitude
125067,Rewasa,Haryana,28.9333,76.1667
125069,Bassi,Haryana,28.9333,76.1667
125071,Dhana Kalan,Haryana,29.5917,75.15
125073,Mirchpur,Haryana,29.5917,75.15
125074,Petwar,Haryana,29.5917,75.15
125076,Rania,Haryana,29.5333,74.8333
125077,Odban,Haryana,29.5917,75.15
125078,Baragudah,Haryana,29.5917,75.15
125079,Haroli,Haryana,29.65,75.4667
125081,Chanot,Haryana,29.0167,75.9
125082,Puthi Mangal Khan,Haryana,29.0167,75.9
125083,Umra,Haryana,29.0167,75.9
125084,Jamauri,Haryana,29.0167,75.9
125086,Kharar Ailapur,Haryana,29.0167,75.9
125087,Ladwa(Hissar),Haryana,29.0167,75.9
125088,Mohamadpur Rohi,Haryana,29.0167,75.9
125101,Chautala,Haryana,29.7833,74.5333
125102,Ellenabad,Haryana,29.45,74.65
125103,Goriwala,Haryana,29.4278,74.9722
125104,Mandi Dabwali,Haryana,29.4278,74.9722
125105,Mangali,Haryana,29.05,75.7333
125106,Dharsul Kalan,Haryana,29.4278,74.9722
125107,Abushahar,Haryana,29.4278,74.9722
125108,Hazarawan Kalan,Haryana,29.4278,74.9722
125109,Mohbatpur,Haryana,29.4278,74.9722
125112,Safidon,Haryana,29.4167,76.6667
125201,Kalanwali,Haryana,29.85,74.95
125202,Rori,Haryana,29.75,75.2
125203,Amritsar Khan,Haryana,29.8,75.075
126001,Jakhal Mandi,Haryana,29.8,75.8333
126006,Daulatpur (Hissar),Haryana,29.6583,75.85
126007,Pabra,Haryana,29.6583,75.85
126009,Uklana Mandi,Haryana,29.5167,75.8667
126010,Barwala,Haryana,29.3833,75.9167
126011,Barwala Mandi,Haryana,29.3833,75.9167
126014,Rajli,Haryana,29.3833,75.9167
126015,Prabhuwala,Haryana,29.3833,75.9167
126025,Nehla,Haryana,29.5667,75.8722
126027,Hassangarh (Hissar),Haryana,29.5667,75.8722
126101,Julana,Haryana,29.1333,76.4167
126102,Chaura Kuam Jind,Haryana,29.1333,76.4167
126104,Deorad,Haryana,29.1333,76.4167
126105,Igrah,Haryana,29.1333,76.4167
126106,Kandela,Haryana,29.1333,76.4167
126108,Malui,Haryana,29.1333,76.4167
126109,Pauli,Haryana,29.1333,76.4167
126110,Ram Rai,Haryana,29.6517,76.318
126111,Shahpur,Haryana,29.8236,77.0886
126113,Pilukhera,Haryana,29.6517,76.318
126114,Shamlo Kalan,Haryana,29.6517,76.318
126115,Uchana,Haryana,29.4667,76.1667
126116,Nangal Fertilizer,Haryana,29.6167,76.1167
126117,Kalayar,Haryana,29.6517,76.318
126118,Dhamta Sahib,Haryana,29.6517,76.318
126119,Tohana,Haryana,29.7,75.9
126120,Tohanamandi,Haryana,29.3833,76.55
126121,Kalwa,Haryana,29.3833,76.55
126122,Kanheri,Haryana,29.3833,76.55
126123,Samain,Haryana,29.3833,76.55
126124,Baroda Jind,Haryana,29.3833,76.55
126126,Balerkha,Haryana,29.3833,76.55
126127,Dablain,Haryana,29.3833,76.55
126128,Dhakal,Haryana,29.3833,76.55
126129,Didwara,Haryana,29.3833,76.55
126130,Gangooli,Haryana,29.5274,76.2272
126131,Garhwali,Haryana,29.5274,76.2272
126132,Ghatauli,Haryana,29.5274,76.2272
126133,Kalayat Mandi,Haryana,29.5274,76.2272
126135,Lawan,Haryana,29.5274,76.2272
126139,Seemla,Haryana,29.5274,76.2272
126140,Ujhana,Haryana,29.7167,76.1333
126141,Hat,Haryana,29.3333,76.6167
126143,Dhigana,Haryana,29.5375,76.0083
126145,Balu,Haryana,29.65,76.3667
126149,Singhana,Haryana,29.45,74.9167
126150,Sewaha,Haryana,29.5274,76.2272
126151,Badanpur,Haryana,29.5274,76.2272
126152,Dhanoda Kalan,Haryana,29.5274,76.2272
126153,Danoda,Haryana,29.5274,76.2272
126154,Dharaudhi,Haryana,29.5274,76.2272
131001,Model Town,Haryana,29.2,76.8167
131021,Bahalgarh,Haryana,29.2,76.8167
131023,Jakhauli,Haryana,29.6667,76.4333
131024,Juan,Haryana,29.0667,76.9
131025,Mohana,Haryana,29.0333,76.85
131026,Jaswarkheri,Haryana,29.2,76.8167
131027,Murthal,Haryana,29.0333,77.0833
131029,P S Rai,Haryana,29.2,76.8167
131030,Rathdana,Haryana,29.2,76.8167
131031,Rattan Garh,Haryana,29.2,76.8167
131032,Pipli Khera,Haryana,29.2,76.8167
131034,Barabansi,Haryana,29.2,76.8167
131035,Harsana Kalan,Haryana,29.2,76.8167
131036,Lehrana,Haryana,29.2,76.8167
131038,Pipli ( Sonepat),Haryana,29.2,76.8167
131101,Ganaur,Haryana,29.1167,76.95
131102,Purkhas,Haryana,29.1167,76.95
131103,Nahri,Haryana,29.1167,76.95
131104,Akbarpur Barota,Haryana,29.1167,76.95
131105,Bega,Haryana,29.1167,76.95
131107,Khanda (Sonepat),Haryana,29.1167,76.95
131108,Chhetera Bhadupur,Haryana,29.1167,76.95
131109,Datauli,Haryana,29.1167,76.95
131110,Ghasauli,Haryana,28.9514,76.5278
131112,Kakaroi,Haryana,28.9514,76.5278
131113,Gopalpur,Haryana,28.9514,76.5278
131114,Mehlana,Haryana,28.9514,76.5278
131115,Chulkana (Sonepat),Haryana,28.9514,76.5278
132001,Karnal M T,Haryana,29.752,76.6199
132002,Sanghowa,Haryana,29.752,76.6199
132021,Kaul,Haryana,29.85,76.6667
132024,Nissing,Haryana,29.8,76.5333
132025,Kachhawa,Haryana,29.8,76.5333
132026,Pundri,Haryana,29.75,76.55
132027,Kaithal,Haryana,29.8,76.3833
132034,Chika,Haryana,30.0489,76.3444
132035,Guhla,Haryana,30.0386,76.3
132036,Jundla,Haryana,29.65,76.8667
132037,Madhuban,Haryana,29.6056,76.9803
132038,Amin,Haryana,29.9167,76.85
132039,Assandh,Haryana,29.8519,76.6683
132040,Ballah,Haryana,29.65,76.5667
132041,Indri Industrial Area,Haryana,29.65,76.5667
132042,Fatehpur,Haryana,29.7833,76.55
132043,Pai,Haryana,29.7167,76.5167
132044,Rajaund,Haryana,29.5833,76.4833
132045,Mowana,Haryana,29.65,76.5667
132046,Salwan,Haryana,29.5167,76.7167
132047,Jakoli,Haryana,29.65,76.5667
132048,Pabnawa,Haryana,29.65,76.5667
132049,Manas,Haryana,29.65,76.5667
132050,Gheer,Haryana,29.5167,76.85
132051,Munak,Haryana,29.5167,76.85
132052,Gonder,Haryana,29.5167,76.85
132058,Gondhar,Haryana,29.5167,76.85
132101,Samalkha,Haryana,29.2333,77.0167
132102,Patti Kalan,Haryana,29.3111,76.9924
132103,Panipat Mandi,Haryana,29.3111,76.9924
132104,Panipat G T Road,Haryana,29.3111,76.9924
132105,Project Plan,Haryana,29.3111,76.9924
132106,Project Panipat,Haryana,29.3111,76.9924
132108,Panipat,Haryana,29.3889,76.9681
132109,Chulkana,Haryana,29.3111,76.9924
132110,Sewah,Haryana,29.6854,76.9442
132111,Gharaunda,Haryana,29.5375,76.9717
132112,Dhatrat,Haryana,29.6854,76.9442
132113,Madlanda,Haryana,29.6854,76.9442
132115,Hathwala,Haryana,29.6854,76.9442
132116,Tarauri,Haryana,29.6854,76.9442
132117,Nilokheri,Haryana,29.8333,76.9167
132118,Engg College Kurukshetra,Haryana,29.6854,76.9442
132120,Jyotisar,Haryana,29.9669,76.7443
132121,Naguran,Haryana,29.9669,76.7443
132123,Rambha,Haryana,29.8,76.9833
132124,Vehana,Haryana,29.9669,76.7443
132125,Saunkra,Haryana,29.9669,76.7443
132128,Pehowa,Haryana,29.9833,76.5833
132129,Ismailabad,Haryana,30.1172,76.6661
132130,Jhansa,Haryana,29.9228,76.9344
132131,Pipli (Kurukshetra),Haryana,29.9228,76.9344
132132,Ladwa,Haryana,29.9944,77.0444
132133,Radaur,Haryana,30.0333,77.15
132134,Daula,Haryana,29.9228,76.9344
132135,Shahbad Markhanda,Haryana,29.9228,76.9344
132136,Thol,Haryana,29.9228,76.9344
132137,Umri,Haryana,29.9467,76.9097
132138,Habri,Haryana,29.7167,76.6333
132142,Dahar,Haryana,29.3092,76.9014
132143,Dikadia,Haryana,29.3092,76.9014
132144,Jaurasi,Haryana,29.3092,76.9014
132145,Naultha,Haryana,29.3092,76.9014
132146,Ahar,Haryana,29.3092,76.9014
132149,Mahoti,Haryana,29.3092,76.9014
132150,Naraina,Haryana,29.4167,74.55
132151,Noorwala,Haryana,29.4167,74.55
132152,Rampura,Haryana,29.4167,74.55
132153,Sonepat Mandi,Haryana,29.4167,74.55
132154,Babail,Haryana,29.4167,74.55
133001,Ambala,Haryana,30.3783,76.7808
133004,Ambala Cantt,Haryana,25.4808,78.7571
133005,Babyal,Haryana,25.4808,78.7571
133102,Kesri,Haryana,30.2,77.15
133104,Saha,Haryana,30.3097,76.975
133105,Kalawar,Haryana,30.2549,77.0625
133201,Barara,Haryana,30.3833,77.2167
133202,Dhin,Haryana,30.3833,77.2167
133203,Mullana,Haryana,30.3833,77.2167
